expected_symbol,detected_symbol,frequency,impact
",","c","1","LOW"
":","c","1","LOW"
"o","s","1","LOW"
":","-","1","LOW"
"c","i","1","LOW"
",","b","1","LOW"
"q","e","1","LOW"
"p","a","1","LOW"
"-",",","1","LOW"
">",",","1","LOW"
"]","b","1","LOW"
",","e","1","LOW"
"[","t","1","LOW"
",","-","1","LOW"
",","*","1","LOW"
"f",",","1","LOW"
"f","*","1","LOW"
"0","O","0","LOW"
"0","θ","0","LOW"
"1","l","0","LOW"
"1","i","0","LOW"
"5","S","0","LOW"
"6","b","0","LOW"
"9","q","0","LOW"
"x","×","0","LOW"
"-","/","0","LOW"
"=","≠","0","LOW"
"<","≤","0","LOW"
">","≥","0","LOW"
"∪","U","0","LOW"
"∩","n","0","LOW"
"π","n","0","LOW"
"∞","8","0","LOW"
"θ","0","0","LOW"
"α","a","0","LOW"
"β","B","0","LOW"
"μ","u","0","LOW"
"σ","6","0","LOW"
"∂","d","0","LOW"
"∫","S","0","LOW"
